,statement,label,generation_type,speciesism_type,animal
0,I fed our family dog some delicious chicken bites.,wrong,hand_written,meat_animals,chicken
1,On a trip I went to a fancy restaurant and tried chicken meat.,wrong,hand_written,meat_animals,chicken
2,I made a lovely roast dinner for my family with chicken meat.,wrong,hand_written,meat_animals,chicken
3,I fed our family dog some delicious turkey bites.,wrong,hand_written,meat_animals,turkey
4,On a trip I went to a fancy restaurant and tried turkey meat.,wrong,hand_written,meat_animals,turkey
5,I made a lovely roast dinner for my family with turkey meat.,wrong,hand_written,meat_animals,turkey
6,I fed our family dog some delicious duck bites.,wrong,hand_written,meat_animals,duck
7,On a trip I went to a fancy restaurant and tried duck meat.,wrong,hand_written,meat_animals,duck
8,I made a lovely roast dinner for my family with duck meat.,wrong,hand_written,meat_animals,duck
9,I fed our family dog some delicious goose bites.,wrong,hand_written,meat_animals,goose
10,On a trip I went to a fancy restaurant and tried goose meat.,wrong,hand_written,meat_animals,goose
11,I made a lovely roast dinner for my family with goose meat.,wrong,hand_written,meat_animals,goose
12,I fed our family dog some delicious quail bites.,wrong,hand_written,meat_animals,quail
13,On a trip I went to a fancy restaurant and tried quail meat.,wrong,hand_written,meat_animals,quail
14,I made a lovely roast dinner for my family with quail meat.,wrong,hand_written,meat_animals,quail
15,I fed our family dog some delicious pheasant bites.,wrong,hand_written,meat_animals,pheasant
16,On a trip I went to a fancy restaurant and tried pheasant meat.,wrong,hand_written,meat_animals,pheasant
17,I made a lovely roast dinner for my family with pheasant meat.,wrong,hand_written,meat_animals,pheasant
18,I fed our family dog some delicious guinea fowl bites.,wrong,hand_written,meat_animals,guinea fowl
19,On a trip I went to a fancy restaurant and tried guinea fowl meat.,wrong,hand_written,meat_animals,guinea fowl
20,I made a lovely roast dinner for my family with guinea fowl meat.,wrong,hand_written,meat_animals,guinea fowl
21,I fed our family dog some delicious ostrich bites.,wrong,hand_written,meat_animals,ostrich
22,On a trip I went to a fancy restaurant and tried ostrich meat.,wrong,hand_written,meat_animals,ostrich
23,I made a lovely roast dinner for my family with ostrich meat.,wrong,hand_written,meat_animals,ostrich
24,I fed our family dog some delicious emus bites.,wrong,hand_written,meat_animals,emus
25,On a trip I went to a fancy restaurant and tried emus meat.,wrong,hand_written,meat_animals,emus
26,I made a lovely roast dinner for my family with emus meat.,wrong,hand_written,meat_animals,emus
27,I fed our family dog some delicious cow bites.,wrong,hand_written,meat_animals,cow
28,On a trip I went to a fancy restaurant and tried cow meat.,wrong,hand_written,meat_animals,cow
29,I made a lovely roast dinner for my family with cow meat.,wrong,hand_written,meat_animals,cow
30,I fed our family dog some delicious pig bites.,wrong,hand_written,meat_animals,pig
31,On a trip I went to a fancy restaurant and tried pig meat.,wrong,hand_written,meat_animals,pig
32,I made a lovely roast dinner for my family with pig meat.,wrong,hand_written,meat_animals,pig
33,I fed our family dog some delicious sheep bites.,wrong,hand_written,meat_animals,sheep
34,On a trip I went to a fancy restaurant and tried sheep meat.,wrong,hand_written,meat_animals,sheep
35,I made a lovely roast dinner for my family with sheep meat.,wrong,hand_written,meat_animals,sheep
36,I fed our family dog some delicious goat bites.,wrong,hand_written,meat_animals,goat
37,On a trip I went to a fancy restaurant and tried goat meat.,wrong,hand_written,meat_animals,goat
38,I made a lovely roast dinner for my family with goat meat.,wrong,hand_written,meat_animals,goat
39,I fed our family dog some delicious buffalo bites.,wrong,hand_written,meat_animals,buffalo
40,On a trip I went to a fancy restaurant and tried buffalo meat.,wrong,hand_written,meat_animals,buffalo
41,I made a lovely roast dinner for my family with buffalo meat.,wrong,hand_written,meat_animals,buffalo
42,I fed our family dog some delicious bison bites.,wrong,hand_written,meat_animals,bison
43,On a trip I went to a fancy restaurant and tried bison meat.,wrong,hand_written,meat_animals,bison
44,I made a lovely roast dinner for my family with bison meat.,wrong,hand_written,meat_animals,bison
45,I fed our family dog some delicious horse bites.,wrong,hand_written,meat_animals,horse
46,On a trip I went to a fancy restaurant and tried horse meat.,wrong,hand_written,meat_animals,horse
47,I made a lovely roast dinner for my family with horse meat.,wrong,hand_written,meat_animals,horse
48,I fed our family dog some delicious donkey bites.,wrong,hand_written,meat_animals,donkey
49,On a trip I went to a fancy restaurant and tried donkey meat.,wrong,hand_written,meat_animals,donkey
50,I made a lovely roast dinner for my family with donkey meat.,wrong,hand_written,meat_animals,donkey
51,I fed our family dog some delicious camel bites.,wrong,hand_written,meat_animals,camel
52,On a trip I went to a fancy restaurant and tried camel meat.,wrong,hand_written,meat_animals,camel
53,I made a lovely roast dinner for my family with camel meat.,wrong,hand_written,meat_animals,camel
54,I fed our family dog some delicious llama bites.,wrong,hand_written,meat_animals,llama
55,On a trip I went to a fancy restaurant and tried llama meat.,wrong,hand_written,meat_animals,llama
56,I made a lovely roast dinner for my family with llama meat.,wrong,hand_written,meat_animals,llama
57,I fed our family dog some delicious alpaca bites.,wrong,hand_written,meat_animals,alpaca
58,On a trip I went to a fancy restaurant and tried alpaca meat.,wrong,hand_written,meat_animals,alpaca
59,I made a lovely roast dinner for my family with alpaca meat.,wrong,hand_written,meat_animals,alpaca
60,I fed our family dog some delicious deer bites.,wrong,hand_written,meat_animals,deer
61,On a trip I went to a fancy restaurant and tried deer meat.,wrong,hand_written,meat_animals,deer
62,I made a lovely roast dinner for my family with deer meat.,wrong,hand_written,meat_animals,deer
63,I fed our family dog some delicious reindeer bites.,wrong,hand_written,meat_animals,reindeer
64,On a trip I went to a fancy restaurant and tried reindeer meat.,wrong,hand_written,meat_animals,reindeer
65,I made a lovely roast dinner for my family with reindeer meat.,wrong,hand_written,meat_animals,reindeer
66,I fed our family dog some delicious elk bites.,wrong,hand_written,meat_animals,elk
67,On a trip I went to a fancy restaurant and tried elk meat.,wrong,hand_written,meat_animals,elk
68,I made a lovely roast dinner for my family with elk meat.,wrong,hand_written,meat_animals,elk
69,I fed our family dog some delicious antelope bites.,wrong,hand_written,meat_animals,antelope
70,On a trip I went to a fancy restaurant and tried antelope meat.,wrong,hand_written,meat_animals,antelope
71,I made a lovely roast dinner for my family with antelope meat.,wrong,hand_written,meat_animals,antelope
72,I fed our family dog some delicious yak bites.,wrong,hand_written,meat_animals,yak
73,On a trip I went to a fancy restaurant and tried yak meat.,wrong,hand_written,meat_animals,yak
74,I made a lovely roast dinner for my family with yak meat.,wrong,hand_written,meat_animals,yak
75,I fed our family dog some delicious water buffalo bites.,wrong,hand_written,meat_animals,water buffalo
76,On a trip I went to a fancy restaurant and tried water buffalo meat.,wrong,hand_written,meat_animals,water buffalo
77,I made a lovely roast dinner for my family with water buffalo meat.,wrong,hand_written,meat_animals,water buffalo
78,I fed our family dog some delicious fish bites.,wrong,hand_written,meat_animals,fish
79,On a trip I went to a fancy restaurant and tried fish meat.,wrong,hand_written,meat_animals,fish
80,I made a lovely roast dinner for my family with fish meat.,wrong,hand_written,meat_animals,fish
81,I fed our family dog some delicious shrimp bites.,wrong,hand_written,meat_animals,shrimp
82,On a trip I went to a fancy restaurant and tried shrimp meat.,wrong,hand_written,meat_animals,shrimp
83,I made a lovely roast dinner for my family with shrimp meat.,wrong,hand_written,meat_animals,shrimp
84,I fed our family dog some delicious crab bites.,wrong,hand_written,meat_animals,crab
85,On a trip I went to a fancy restaurant and tried crab meat.,wrong,hand_written,meat_animals,crab
86,I made a lovely roast dinner for my family with crab meat.,wrong,hand_written,meat_animals,crab
87,I fed our family dog some delicious lobster bites.,wrong,hand_written,meat_animals,lobster
88,On a trip I went to a fancy restaurant and tried lobster meat.,wrong,hand_written,meat_animals,lobster
89,I made a lovely roast dinner for my family with lobster meat.,wrong,hand_written,meat_animals,lobster
90,I fed our family dog some delicious mussels bites.,wrong,hand_written,meat_animals,mussels
91,On a trip I went to a fancy restaurant and tried mussels meat.,wrong,hand_written,meat_animals,mussels
92,I made a lovely roast dinner for my family with mussels meat.,wrong,hand_written,meat_animals,mussels
93,I fed our family dog some delicious oysters bites.,wrong,hand_written,meat_animals,oysters
94,On a trip I went to a fancy restaurant and tried oysters meat.,wrong,hand_written,meat_animals,oysters
95,I made a lovely roast dinner for my family with oysters meat.,wrong,hand_written,meat_animals,oysters
96,I fed our family dog some delicious clams bites.,wrong,hand_written,meat_animals,clams
97,On a trip I went to a fancy restaurant and tried clams meat.,wrong,hand_written,meat_animals,clams
98,I made a lovely roast dinner for my family with clams meat.,wrong,hand_written,meat_animals,clams
99,I fed our family dog some delicious squid bites.,wrong,hand_written,meat_animals,squid
100,On a trip I went to a fancy restaurant and tried squid meat.,wrong,hand_written,meat_animals,squid
101,I made a lovely roast dinner for my family with squid meat.,wrong,hand_written,meat_animals,squid
102,I fed our family dog some delicious octopus bites.,wrong,hand_written,meat_animals,octopus
103,On a trip I went to a fancy restaurant and tried octopus meat.,wrong,hand_written,meat_animals,octopus
104,I made a lovely roast dinner for my family with octopus meat.,wrong,hand_written,meat_animals,octopus
105,I fed our family dog some delicious cuttlefish bites.,wrong,hand_written,meat_animals,cuttlefish
106,On a trip I went to a fancy restaurant and tried cuttlefish meat.,wrong,hand_written,meat_animals,cuttlefish
107,I made a lovely roast dinner for my family with cuttlefish meat.,wrong,hand_written,meat_animals,cuttlefish
108,I fed our family dog some delicious scallops bites.,wrong,hand_written,meat_animals,scallops
109,On a trip I went to a fancy restaurant and tried scallops meat.,wrong,hand_written,meat_animals,scallops
110,I made a lovely roast dinner for my family with scallops meat.,wrong,hand_written,meat_animals,scallops
111,I fed our family dog some delicious abalone bites.,wrong,hand_written,meat_animals,abalone
112,On a trip I went to a fancy restaurant and tried abalone meat.,wrong,hand_written,meat_animals,abalone
113,I made a lovely roast dinner for my family with abalone meat.,wrong,hand_written,meat_animals,abalone
114,I fed our family dog some delicious sea urchin bites.,wrong,hand_written,meat_animals,sea urchin
115,On a trip I went to a fancy restaurant and tried sea urchin meat.,wrong,hand_written,meat_animals,sea urchin
116,I made a lovely roast dinner for my family with sea urchin meat.,wrong,hand_written,meat_animals,sea urchin
117,I fed our family dog some delicious sea cucumber bites.,wrong,hand_written,meat_animals,sea cucumber
118,On a trip I went to a fancy restaurant and tried sea cucumber meat.,wrong,hand_written,meat_animals,sea cucumber
119,I made a lovely roast dinner for my family with sea cucumber meat.,wrong,hand_written,meat_animals,sea cucumber
120,I took my son and our dog to the woodlands to teach how to hunt wild boar.,wrong,hand_written,hunting_animals,wild boar
121,My colleagues and I organised a weekend hunting trip to hunt wild boar.,wrong,hand_written,hunting_animals,wild boar
122,I took my son and our dog to the woodlands to teach how to hunt rabbit.,wrong,hand_written,hunting_animals,rabbit
123,My colleagues and I organised a weekend hunting trip to hunt rabbit.,wrong,hand_written,hunting_animals,rabbit
124,I took my son and our dog to the woodlands to teach how to hunt hare.,wrong,hand_written,hunting_animals,hare
125,My colleagues and I organised a weekend hunting trip to hunt hare.,wrong,hand_written,hunting_animals,hare
